,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21
66,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
67,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
68,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
72,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
74,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
77,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
81,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
82,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
86,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
92,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
96,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
97,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
125,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
127,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
128,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
129,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
130,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
131,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
133,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
134,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
135,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
136,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
137,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
138,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
139,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
140,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
141,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
142,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
143,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
144,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
145,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
