,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21
63,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.87,0.04,0.02
64,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.87,0.04,0.02
65,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.86,0.04,0.02
66,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.08,0.05,0.03,1.0,0.12,0.08,0.02,0.01,0.03,0.86,0.04,0.02
67,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.08,0.05,0.03,1.0,0.12,0.08,0.02,0.01,0.03,0.85,0.04,0.02
68,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.85,0.04,0.02
69,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.84,0.04,0.02
70,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.83,0.04,0.02
71,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.83,0.04,0.02
72,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.82,0.04,0.02
73,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.82,0.04,0.02
74,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.81,0.04,0.02
75,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.81,0.04,0.02
76,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.82,0.04,0.02
77,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.82,0.04,0.02
78,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.83,0.04,0.02
79,0.15,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.83,0.04,0.02
80,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.84,0.04,0.02
81,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.11,0.03,0.08,0.05,0.03,1.0,0.11,0.08,0.02,0.01,0.03,0.85,0.04,0.02
82,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.08,0.05,0.03,1.0,0.12,0.08,0.02,0.01,0.03,0.85,0.04,0.02
83,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.08,0.05,0.03,1.0,0.12,0.08,0.02,0.01,0.03,0.86,0.04,0.02
84,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.86,0.04,0.02
85,0.16,0.03,0.04,0.05,0.03,0.07,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.87,0.04,0.02
86,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.87,0.04,0.02
87,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.88,0.04,0.02
88,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.88,0.04,0.02
89,0.16,0.03,0.04,0.05,0.03,0.08,0.02,0.12,0.03,0.09,0.05,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.89,0.04,0.02
90,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.89,0.04,0.02
91,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.9,0.04,0.02
92,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.91,0.04,0.02
93,0.17,0.03,0.04,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.91,0.04,0.02
94,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.12,0.03,0.09,0.06,0.03,1.0,0.12,0.09,0.02,0.01,0.03,0.92,0.05,0.02
95,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.92,0.05,0.02
96,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.93,0.05,0.02
97,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.93,0.05,0.02
98,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.94,0.05,0.02
99,0.17,0.03,0.05,0.06,0.03,0.08,0.02,0.13,0.03,0.09,0.06,0.03,1.0,0.13,0.09,0.02,0.01,0.03,0.94,0.05,0.02
100,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.09,0.06,0.04,1.0,0.13,0.09,0.02,0.01,0.04,0.95,0.05,0.02
101,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.09,0.06,0.04,1.0,0.13,0.09,0.02,0.01,0.04,0.95,0.05,0.02
102,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.09,0.06,0.04,1.0,0.13,0.09,0.02,0.01,0.04,0.96,0.05,0.02
103,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.96,0.05,0.02
104,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.97,0.05,0.02
105,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.98,0.05,0.02
106,0.18,0.04,0.05,0.06,0.04,0.08,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.98,0.05,0.02
107,0.18,0.04,0.05,0.06,0.04,0.09,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.99,0.05,0.02
108,0.18,0.04,0.05,0.06,0.04,0.09,0.02,0.13,0.04,0.1,0.06,0.04,1.0,0.13,0.1,0.02,0.01,0.04,0.99,0.05,0.02
109,0.18,0.04,0.05,0.06,0.04,0.09,0.02,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.02,0.01,0.04,1.0,0.05,0.02
110,0.19,0.04,0.05,0.06,0.04,0.09,0.02,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.02,0.01,0.04,1.0,0.05,0.02
111,0.19,0.04,0.05,0.06,0.04,0.09,0.02,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.02,0.01,0.04,1.0,0.05,0.02
112,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
113,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
114,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
115,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
116,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
117,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
118,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
119,0.19,0.04,0.05,0.06,0.04,0.09,0.03,0.14,0.04,0.1,0.06,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
120,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.14,0.04,0.1,0.07,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
121,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.14,0.04,0.1,0.07,0.04,1.0,0.14,0.1,0.03,0.01,0.04,1.0,0.05,0.03
122,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
123,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
124,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
125,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
126,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
127,0.2,0.04,0.05,0.07,0.04,0.09,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
128,0.2,0.04,0.05,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
129,0.2,0.04,0.05,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
130,0.21,0.04,0.05,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.05,0.03
131,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
132,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
133,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
134,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
135,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.15,0.04,0.11,0.07,0.04,1.0,0.15,0.11,0.03,0.01,0.04,1.0,0.06,0.03
136,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
137,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
138,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
139,0.21,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.11,0.07,0.04,1.0,0.16,0.11,0.03,0.01,0.04,1.0,0.06,0.03
140,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
141,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
142,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
143,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
144,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
145,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
146,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
147,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
148,0.22,0.04,0.06,0.07,0.04,0.1,0.03,0.16,0.04,0.12,0.07,0.04,1.0,0.16,0.12,0.03,0.01,0.04,1.0,0.06,0.03
149,0.22,0.04,0.06,0.08,0.04,0.11,0.03,0.17,0.04,0.12,0.08,0.04,1.0,0.17,0.12,0.03,0.01,0.04,1.0,0.06,0.03
